ExoVar,RMSE,MAE,RMSEPercentReduction,MAEPercentReduction
SM,12.78,9.2,0.0,0.0
SM_WMEP,12.62,9.06,-0.01,-0.02
SM_WMEP_WMT,11.96,8.53,-0.06,-0.07
SM_WMEP_WMT_WMV,11.96,8.52,-0.06,-0.07
SM_WMEP_WMT_WMV_iv180call,12.34,8.81,-0.03,-0.04
SM_WMEP_WMT_WMV_iv180call_iv30call,12.46,8.9,-0.03,-0.03
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM,11.91,8.52,-0.07,-0.07
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG,11.78,8.43,-0.08,-0.08
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call,11.76,8.41,-0.08,-0.09
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call,11.92,8.52,-0.07,-0.07
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi,11.93,8.52,-0.07,-0.07
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol,11.67,8.34,-0.09,-0.09
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI,11.64,8.32,-0.09,-0.1
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR,11.78,8.42,-0.08,-0.09
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol,12.12,8.65,-0.05,-0.06
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi,12.3,8.78,-0.04,-0.05
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR,12.19,8.7,-0.05,-0.05
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD,12.43,8.89,-0.03,-0.03
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol,13.42,9.81,0.05,0.07
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR,13.38,9.77,0.05,0.06
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR_totaloi,13.58,9.95,0.06,0.08
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR_totaloi_iv120call,13.45,9.83,0.05,0.07
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR_totaloi_iv120call_iv60call,12.38,8.85,-0.03,-0.04
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR_totaloi_iv120call_iv60call_PCR,12.29,8.79,-0.04,-0.04
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR_totaloi_iv120call_iv60call_PCR_iv90call,13.29,9.69,0.04,0.05
SM_WMEP_WMT_WMV_iv180call_iv30call_SWM_WMG_iv150call_iv360call_CVPoi_putvol_MROI_CToiR_totalvol_putoi_CTVR_WMD_callvol_ToiTVR_totaloi_iv120call_iv60call_PCR_iv90call_calloi,69.55,62.04,4.44,5.74
